[204923669, 50635880, 156536157, 126285967, 21834830, 180576998, 75185841]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 37216390, 27369448]
[10106479, 48368057, 101287106, 26137914, 144997814, 193014708, 214360453, 30174502]
[112655291, 19209424, 78637201, 3582407, 43920116, 14868510, 84760341, 149208759]
[22619776, 15424767, 102941135, 61285663, 212578573, 228040875, 207888121, 1237931]
[121690776, 115201947, 136745825, 178417372, 107764572, 248009027, 142512266, 200335099]
[219868898, 21390277, 239043661, 155644933, 41682843, 202146397, 727537, 189029406]
[121690776, 115201947, 136745825, 178417372, 175589778, 145455047, 67523417, 105184954]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 47244643, 91393841]
[74329510, 124765354, 216119651, 120037485, 203664073, 184232351, 201165926, 176140066]
[22619776, 15424767, 239664794, 38863699, 238141909, 23912176, 7639329, 234337320]
[218542507, 27686776, 57877320, 242250743, 125087554, 47831521, 58834892, 28145235]
[169313277, 9510243, 54726766, 82023249, 180063763, 119146584, 53258109, 42371614]
[173377106, 227979404, 182624742, 133017748, 129440306, 156336779, 166718684, 191354432]
[245186357, 179224212, 177971497, 122788728, 120240893, 11475239, 163924075, 170397427]
[112655291, 19209424, 78637201, 3582407, 43920116, 14868510, 236887839, 194847145]
[181938804, 163199325, 33540865, 189273694, 119119372, 14615635, 66805559, 206432829]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 130432837, 193893252]
[76710225, 167739046, 165438592, 16815147, 121368087, 246677501, 49660219, 174654598]
[245186357, 33815929, 81317813, 149728072, 110885945, 66745182, 172388343, 21765691]
[28939697, 123364048, 231894319, 154778647, 193962753, 93622992, 154612309, 109084081]
[169313277, 37558859, 186907533, 235749280, 45410330, 31294027, 1733203, 204356774]
[169717436, 214896517, 160185875, 218150587, 67616125, 163806977, 157249759, 48844597]
[240973929, 83097505, 11728468, 155886915, 94389995, 44767165, 148770741, 35562743]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 7317419, 188912876]
[104573498, 192955018, 133710613, 172965008, 51974564, 152070860, 200263126, 160237027]
[121975721, 42062284, 75194355, 13024942, 56865115, 181962296, 126012941, 43486028]
[139255779, 117323211, 86191772, 82525022, 242989718, 164457399, 197774702, 8130698]
[231488027, 32101784, 127865537, 162281022, 129922855, 14126142, 145105429, 84989239]
[104573498, 192955018, 133710613, 172965008, 169947045, 159579203, 92453613, 96409856]
[116640107, 175919948, 230396891, 219625776, 144804450, 165707799, 74741956, 112084745]
[49431804, 24092436, 92023561, 36526307, 201258008, 147443895, 47461940, 24656734]
[173377106, 227979404, 182624742, 133017748, 129440306, 156336779, 166718684, 190563918]
[139407978, 28655380, 221952859, 128925738, 170695932, 177876861, 201062049, 14945254]
[208230092, 214761888, 193867375, 85227644, 238283386, 98575776, 17535003, 94276235]
[74329510, 39112394, 143983921, 14633437, 31883744, 64678772, 138369111, 196982491]
[211510271, 46724623, 74610054, 134915134, 147128739, 113065763, 219683349, 18766728]
[231488027, 32101784, 127865537, 154034083, 68103002, 244309041, 202762300, 53088276]
[177119877, 214819640, 128621318, 19342724, 243784842, 54985016, 136666481, 244416597]
[76710225, 167739046, 165438592, 16815147, 121368087, 246677501, 49660219, 184942891]
[211316160, 37095821, 218824995, 2668282, 741655, 14291320, 63937015, 231372472]
[121690776, 115201947, 136745825, 178417372, 175589778, 93222629, 153601893, 70605652]
[10379212, 12391743, 5269103, 90783180, 38946337, 121333767, 225679952, 92591716]
[211804832, 138574305, 94342188, 23325149, 239267654, 54424579, 57522084, 108462456]
[205972194, 86177255, 137657541, 216106120, 155227982, 196603466, 198923911, 116538126]
[205972194, 86177255, 137657541, 146101519, 168690798, 230513638, 177877701, 177248525]
[74329510, 39112394, 1072059, 123327512, 191647261, 171617328, 241296991, 37884867]
[106261171, 44990710, 84180592, 123440078, 138510609, 86977167, 108918444, 12579507]
[121975721, 42062284, 19586029, 62150434, 204748696, 36212687, 147818594, 158117887]
[188932858, 200934080, 97777798, 169801301, 164186099, 198332826, 61999632, 188118598]
[22619776, 15424767, 239664794, 38863699, 238141909, 23912176, 7639329, 191542625]
[74869342, 30527162, 33520167, 30450917, 44623284, 195338151, 225514510, 245241467]
[213112826, 25516838, 152287638, 224047741, 246519967, 225391265, 242039224, 14798020]
[240973929, 83097505, 11728468, 155886915, 16751023, 185433565, 17449245, 19554161]
[112655291, 19209424, 208223836, 174956768, 236624390, 45224236, 80561154, 47332041]
[245186357, 179224212, 177971497, 122788728, 120240893, 156194464, 37796243, 70313317]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 128900803, 113263299]
[245186357, 56476491, 21738255, 97185163, 70997893, 50646296, 225814055, 38752752]
[213112826, 25516838, 152287638, 114775498, 49141311, 165540066, 235599468, 172358478]
[28939697, 83720688, 206122823, 49942988, 161567604, 206588454, 248818709, 59923400]
[111584673, 59739155, 89808464, 161531445, 244706660, 178814904, 176511467, 44614252]
[121690776, 115201947, 136745825, 178417372, 97627083, 197407051, 111672616, 224517844]
[205226715, 161852671, 153828978, 10844735, 75121201, 15368466, 166708044, 94572320]
[82212583, 193617759, 234025706, 196862795, 8436367, 66950703, 47274873, 25173481]
[245186357, 33815929, 103613504, 216015871, 122861351, 235904624, 203746965, 22326671]
[49431804, 246457812, 177362205, 34762461, 184352530, 100771641, 163088416, 51367203]
[205972194, 61946850, 32802042, 172129796, 159489605, 37610409, 4600084, 90154875]
[32676012, 195138918, 178653906, 248285279, 227104177, 67759704, 248963345, 108282855]
[231488027, 32101784, 95034900, 50625588, 202706349, 238879684, 161581670, 14369096]
[140347209, 25798347, 64306031, 122192794, 143446585, 72892366, 214212954, 230983346]
[205972194, 61946850, 32802042, 172129796, 159489605, 37610409, 78212502, 79146772]
[204923669, 55371512, 158920153, 236699111, 117965505, 43533150, 240963946, 232222505]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 97770307, 148322777]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 224546669, 218003438]
