[242523906, 87860037]
[206045465, 4828180, 199042935]
[93013133, 79078986, 89213066]
[206045465, 195702604, 96280246]
[242523906, 87860037, 78710919]
[206045465, 25751687, 209486035]
[206045465, 25297134, 291114]
[206045465, 237134557, 34305403]
[242523906, 87860037, 46402350]
[25203414, 174344902, 27537905]
[242523906, 87860037, 31554902]
[93013133, 2876449, 226970824]
[25203414, 174344902, 107132662]
[206045465, 25297134, 143104557]
[206045465, 25297134, 226009952]
[206045465, 105700008, 127278819]
[93013133, 2876449, 50682026]
[206045465, 195702604, 91298291]
[206045465, 25751687, 72113057]
[206045465, 25751687, 142671580]
[93013133, 2876449, 105600790]
[206045465, 237134557, 83895232]
[93013133, 2876449, 111180792]
[206045465, 105700008, 190090963]
[206045465, 25751687, 199644815]
[93013133, 79078986, 235794471]
[242523906, 87860037, 130532953]
[206045465, 25751687, 157151864]
[206045465, 105700008, 139482310]
[93013133, 2876449, 198978191]
[206045465, 195702604, 17609881]
[206045465, 25297134, 38909759]
[206045465, 25297134, 140049865]
[206045465, 4828180, 245702906]
[206045465, 195702604, 131882375]
[93013133, 79078986, 175247950]
[25203414, 174344902, 53468482]
[206045465, 105700008, 217619840]
[206045465, 25751687, 50231224]
[206045465, 105700008, 78787241]
[206045465, 237134557, 201584372]
[93013133, 79078986, 139055449]
[93013133, 2876449, 162610071]
[206045465, 195702604, 92455809]
[206045465, 25751687, 212148340]
[242523906, 87860037, 66743276]
[206045465, 237134557, 149069138]
[25203414, 174344902, 38217774]
[93013133, 2876449, 233576980]
[206045465, 105700008, 234744755]
[93013133, 79078986, 192155511]
[25203414, 174344902, 188598619]
[206045465, 195702604, 96631772]
[206045465, 25297134, 238635127]
[93013133, 2876449, 176095988]
[206045465, 25297134, 244088374]
[206045465, 4828180, 6352909]
[206045465, 25297134, 236524261]
[206045465, 237134557, 9661910]
[206045465, 105700008, 44582917]
[242523906, 87860037, 192364744]
[206045465, 25297134, 4400256]
[206045465, 105700008, 114196970]
[206045465, 4828180, 126927116]
[93013133, 79078986, 88165529]
[206045465, 195702604, 245169946]
[206045465, 25297134, 183861988]
[206045465, 25751687, 110196805]
[242523906, 87860037, 44823810]
[93013133, 79078986, 77128568]
[206045465, 237134557, 210394913]
[93013133, 79078986, 233945817]
[93013133, 79078986, 162344908]
[206045465, 25297134, 3940317]
[206045465, 195702604, 222159453]
[206045465, 195702604, 153192949]
[206045465, 4828180, 241152065]
[206045465, 105700008, 198851710]
[206045465, 237134557, 115901805]
[206045465, 237134557, 199269862]
[93013133, 2876449, 138637570]
[206045465, 25751687, 31204612]
[206045465, 25751687, 183487397]
[206045465, 237134557, 5859435]
[206045465, 195702604, 182395525]
[242523906, 87860037, 109512856]
[93013133, 79078986, 83979027]
[93013133, 2876449, 210330997]
[242523906, 87860037, 229661428]
[93013133, 79078986, 115737596]
[93013133, 79078986, 215237835]
[206045465, 25751687, 58081079]
[206045465, 237134557, 198246083]
[242523906, 87860037, 212969059]
[206045465, 105700008, 108471541]
[93013133, 79078986, 61281777]
[93013133, 79078986, 19955960]
[206045465, 25751687, 106897941]
[206045465, 25297134, 43160710]
[206045465, 105700008, 128944286]
[206045465, 195702604, 121917926]
[206045465, 25751687, 919323]
[206045465, 25751687, 111968775]
[93013133, 79078986, 56406942]
[206045465, 25297134, 40673729]
[25203414, 174344902, 199792154]
[93013133, 79078986, 12694715]
[206045465, 105700008, 140597428]
[206045465, 25297134, 165551223]
[93013133, 79078986, 183324076]
[25203414, 174344902, 149712832]
[242523906, 87860037, 200864451]
[206045465, 25297134, 21331156]
[93013133, 79078986, 24135502]
[25203414, 174344902, 178182617]
[206045465, 4828180, 56813575]
[93013133, 2876449, 236837929]
[93013133, 79078986, 8318704]
[206045465, 25751687, 107536061]
[206045465, 25751687, 178676991]
[206045465, 25751687, 246066061]
[93013133, 79078986, 26542331]
[242523906, 87860037, 245313098]
[206045465, 237134557, 241604723]
[206045465, 105700008, 173743115]
[93013133, 2876449, 121415556]
[206045465, 105700008, 33959394]
[25203414, 174344902, 151219219]
[206045465, 25751687, 43644758]
[93013133, 79078986, 134916607]
[93013133, 79078986, 80112657]
[206045465, 237134557, 93259902]
[206045465, 25751687, 78485475]
[206045465, 105700008, 40660391]
[206045465, 237134557, 8907739]
[93013133, 79078986, 230184842]
[206045465, 25751687, 42152541]
[206045465, 237134557, 225202266]
[93013133, 79078986, 228038129]
[206045465, 195702604, 149657039]
[206045465, 25297134, 208443511]
[93013133, 2876449, 218040198]
[93013133, 79078986, 121310491]
[206045465, 25751687, 78846216]
[242523906, 87860037, 198940280]
[206045465, 25751687, 26302508]
[93013133, 2876449, 50418053]
[242523906, 87860037, 68957950]
[206045465, 25751687, 76682427]
[206045465, 195702604, 211646384]
[242523906, 87860037, 199564958]
[242523906, 87860037, 97363844]
[206045465, 237134557, 209376866]
[93013133, 79078986, 240438084]
[206045465, 105700008, 44135363]
[206045465, 105700008, 83433571]
[93013133, 79078986, 226174303]
[206045465, 4828180, 170171135]
[206045465, 25297134, 109107593]
