[206045465, 237134557, 98501963, 193035196, 7380439]
[206045465, 237134557, 98501963, 193035196, 7380439, 195917406]
[206045465, 25751687, 125958478, 194460356, 135388072, 166385631]
[93013133, 79078986, 27477927, 85043021, 236177433, 208126318]
[93013133, 79078986, 20365635, 126967462, 45659347]
[93013133, 79078986, 27477927, 85043021, 84166967, 124374132]
[93013133, 79078986, 20365635, 126967462, 179682725, 239078912]
[93013133, 79078986, 27477927, 85043021, 236177433, 158277406]
[206045465, 237134557, 98501963, 193035196, 217614723, 146631726]
[206045465, 237134557, 98501963, 193035196, 7380439, 37744957]
[93013133, 79078986, 20365635, 126967462, 78044025]
[93013133, 79078986, 20365635, 126967462, 179682725, 70713485]
[206045465, 237134557, 98501963, 193035196, 7380439, 108095610]
[206045465, 237134557, 98501963, 193035196, 86116500, 67431381]
[206045465, 237134557, 98501963, 193035196, 127476587, 198665151]
[93013133, 79078986, 27477927, 85043021, 84166967, 130256554]
[93013133, 79078986, 27477927, 85043021, 236177433, 62737620]
[206045465, 25751687, 125958478, 194460356, 135388072, 162865528]
[93013133, 79078986, 27477927, 85043021, 236177433, 199914492]
[93013133, 79078986, 20365635, 126967462, 179682725, 89238888]
[206045465, 25751687, 125958478, 194460356, 135388072, 65242340]
[206045465, 25751687, 125958478, 194460356, 135388072, 76752287]
[93013133, 79078986, 20365635, 126967462, 233149199]
[206045465, 237134557, 98501963, 193035196, 86116500, 139911093]
[93013133, 79078986, 27477927, 85043021, 84166967, 129543096]
[93013133, 79078986, 27477927, 85043021, 236177433, 42025725]
[206045465, 25751687, 125958478, 194460356, 135388072, 163876689]
[206045465, 25751687, 125958478, 78296307, 75256724, 7986843]
[206045465, 237134557, 98501963, 193035196, 127476587, 15124585]
[93013133, 79078986, 20365635, 126967462, 179682725, 215178690]
[206045465, 237134557, 98501963, 193035196, 127476587, 194728297]
[206045465, 237134557, 98501963, 193035196, 217614723, 122599035]
[93013133, 79078986, 27477927, 85043021, 84166967, 197785296]
[93013133, 79078986, 27477927, 85043021, 236177433, 60295019]
[206045465, 25751687, 125958478, 78296307, 75256724, 98918932]
[206045465, 237134557, 98501963, 193035196, 127476587, 106060172]
[93013133, 79078986, 27477927, 85043021, 236177433, 98603195]
[93013133, 79078986, 20365635, 126967462, 37228394]
[206045465, 237134557, 98501963, 193035196, 127476587, 99733789]
[206045465, 237134557, 98501963, 193035196, 217614723, 35778238]
[206045465, 237134557, 98501963, 193035196, 127476587, 32977662]
[93013133, 79078986, 20365635, 126967462, 179682725, 128335888]
[93013133, 79078986, 27477927, 85043021, 84166967, 35536106]
[93013133, 79078986, 20365635, 126967462, 179682725, 55720581]
[93013133, 79078986, 20365635, 126967462, 34673830]
[206045465, 237134557, 98501963, 193035196, 217614723, 151830345]
[206045465, 237134557, 98501963, 193035196, 7380439, 138641710]
[93013133, 79078986, 20365635, 126967462, 179682725, 225050395]
[93013133, 79078986, 20365635, 126967462, 236958311]
[206045465, 237134557, 98501963, 193035196, 217614723, 205514413]
[206045465, 237134557, 98501963, 193035196, 217614723, 55269562]
[206045465, 25751687, 125958478, 78296307, 75256724, 64185505]
[93013133, 79078986, 27477927, 85043021, 84166967, 51273003]
[206045465, 237134557, 98501963, 193035196, 7380439, 236480288]
[206045465, 237134557, 98501963, 193035196, 127476587, 144150783]
[206045465, 237134557, 98501963, 193035196, 7380439, 216892502]
[206045465, 25751687, 125958478, 194460356, 135388072, 105823724]
[206045465, 237134557, 98501963, 193035196, 7380439, 222440594]
[206045465, 237134557, 98501963, 193035196, 7380439, 10256360]
[206045465, 237134557, 98501963, 193035196, 217614723, 156629752]
[206045465, 237134557, 98501963, 193035196, 217614723, 32979779]
[206045465, 237134557, 98501963, 193035196, 217614723, 177467521]
[93013133, 79078986, 27477927, 85043021, 84166967, 88022619]
[206045465, 237134557, 98501963, 193035196, 86116500, 186266136]
[93013133, 79078986, 27477927, 85043021, 236177433, 143460898]
[206045465, 237134557, 98501963, 193035196, 127476587, 246371730]
[93013133, 79078986, 20365635, 126967462, 115554920]
[206045465, 237134557, 98501963, 193035196, 217614723, 235865586]
[206045465, 237134557, 98501963, 193035196, 217614723, 230191916]
[206045465, 237134557, 98501963, 193035196, 127476587, 195210199]
[206045465, 237134557, 98501963, 193035196, 7380439, 62362598]
[93013133, 79078986, 20365635, 126967462, 179682725, 221570411]
[93013133, 79078986, 20365635, 126967462, 179682725, 67560270]
[93013133, 79078986, 27477927, 85043021, 84166967, 87436846]
[93013133, 79078986, 20365635, 126967462, 241670021]
[93013133, 79078986, 27477927, 85043021, 236177433, 44855565]
[206045465, 237134557, 98501963, 193035196, 86116500, 187422502]
[93013133, 79078986, 20365635, 126967462, 179682725, 107915163]
[206045465, 237134557, 98501963, 193035196, 217614723, 181953833]
[93013133, 79078986, 27477927, 85043021, 236177433, 237046772]
[206045465, 25751687, 125958478, 194460356, 135388072, 141965743]
[206045465, 237134557, 98501963, 193035196, 127476587, 174844428]
[206045465, 237134557, 98501963, 193035196, 217614723, 223178035]
[206045465, 25751687, 125958478, 78296307, 75256724, 240535558]
[93013133, 79078986, 27477927, 85043021, 236177433, 117078473]
[93013133, 79078986, 20365635, 126967462, 179682725, 194316073]
[206045465, 237134557, 98501963, 193035196, 7380439, 178389149]
[93013133, 79078986, 20365635, 126967462, 179682725, 137812037]
[93013133, 79078986, 27477927, 85043021, 236177433, 94342235]
[93013133, 79078986, 20365635, 126967462, 179682725, 228287454]
[93013133, 79078986, 20365635, 126967462, 179682725, 144635830]
[93013133, 79078986, 20365635, 126967462, 159169504]
[206045465, 237134557, 98501963, 193035196, 86116500, 53708158]
