[206045465, 237134557, 98501963, 193035196, 217614723, 95824616]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 128156678]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 128379681]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 6656914]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 221238586]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 95325017]
[206045465, 237134557, 98501963, 193035196, 7380439, 63764184]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 11284289]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 30486764]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 74814123]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 94086585]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 1462707]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 157772237]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 3728623]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 246276148]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 193155547]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 14196340]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 88691775]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 226010237]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 70676363]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 149605826]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 120113067]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 116863547]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 48374613]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 184710058]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 73747965]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 206337899]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438, 193309765]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 105962374]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 39387346]
[206045465, 237134557, 98501963, 193035196, 7380439, 164722576]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 230194324]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 190712943]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 53868042]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 219489424]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 2066022]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 120813139]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 176588996]
[93013133, 79078986, 20365635, 126967462, 229005668, 246615370]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 10011354]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 218502741]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122, 227264175]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 31436217]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 193322270]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549, 36316246]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 236519558]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 142440135]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787, 167780343]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908, 193808226]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 18680499]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 114977473]
