[206045465, 237134557, 98501963]
[93013133, 79078986, 129139719, 85553927]
[206045465, 25751687, 125958478, 116179353]
[206045465, 237134557, 98501963, 134771532]
[93013133, 79078986, 27477927, 195536733]
[93013133, 79078986, 20365635, 127292050]
[206045465, 25751687, 125958478, 117566688]
[93013133, 79078986, 20365635, 101984460]
[206045465, 237134557, 98501963, 160549536]
[206045465, 237134557, 150819137, 55318069]
[206045465, 237134557, 150819137, 104533617]
[206045465, 237134557, 98501963, 111766489]
[242523906, 87860037, 241138409, 184269349]
[93013133, 79078986, 27477927, 202339379]
[93013133, 2876449, 93421251, 27392200]
[93013133, 79078986, 27477927, 114680839]
[93013133, 79078986, 129139719, 116343579]
[93013133, 79078986, 129139719, 186965724]
[206045465, 237134557, 150819137, 110149153]
[242523906, 87860037, 241138409, 202766157]
[93013133, 79078986, 20365635, 175479228]
[206045465, 237134557, 98501963, 201057394]
[93013133, 79078986, 129139719, 39726091]
[93013133, 79078986, 129139719, 200240028]
[93013133, 2876449, 141855051, 62562778]
[206045465, 25751687, 125958478, 210893038]
[93013133, 2876449, 141855051, 152838717]
[93013133, 2876449, 93421251, 138970499]
[206045465, 237134557, 150819137, 115408920]
[93013133, 79078986, 20365635, 130319871]
[93013133, 79078986, 129139719, 79089151]
[206045465, 237134557, 98501963, 211136395]
[93013133, 2876449, 141855051, 204586124]
[93013133, 79078986, 27477927, 223427514]
[93013133, 79078986, 20365635, 33371763]
[93013133, 2876449, 93421251, 36675370]
[93013133, 79078986, 129139719, 81125875]
[206045465, 237134557, 98501963, 162114988]
[93013133, 2876449, 93421251, 69051176]
[206045465, 25751687, 125958478, 146579313]
[206045465, 25751687, 125958478, 195880920]
[93013133, 79078986, 129139719, 186171430]
[93013133, 79078986, 27477927, 144620138]
[93013133, 79078986, 27477927, 151118393]
[93013133, 79078986, 20365635, 222080054]
[93013133, 79078986, 27477927, 190634799]
[242523906, 87860037, 241138409, 192439368]
[206045465, 237134557, 98501963, 66476386]
[93013133, 79078986, 20365635, 67412476]
