[239554898, 102907710, 132452821]
[25001273, 207839760, 96717700, 177496026]
[233481409, 223580591, 100428466, 108806356]
[163813705, 132076665, 238635194, 63211990]
[169313277, 9510243, 54726766, 82023249]
[148907630, 143141347, 51124938, 38237216]
[140347209, 25798347, 35216298, 21761335]
[239393237, 164714934, 224904743, 27314302]
[185021265, 120449815, 109402407, 238365880]
[154551859, 132819502, 55612164, 228103393]
[121773903, 154727771, 23179543, 14644206]
[59717361, 134711651, 229653947, 52666792]
[121773903, 154727771, 23179543, 60928386]
[113588501, 150903877, 15899272, 167859401]
[16205631, 11382290, 21291978, 97902681]
[211510271, 40815467, 61774155, 223998317]
[239393237, 197938988, 110381922, 15146889]
[49986552, 151382489, 101485566, 200113983]
[211804832, 138574305, 56455960, 132113199]
[167539219, 192052900, 155852712, 149499948]
[139407978, 30753859, 146083603, 244747749]
[8685447, 234393374, 17927912, 83330347]
[28939697, 123364048, 185338091, 205988920]
[222119453, 85409032, 82869299, 83638292]
[85998254, 248045083, 25312165, 7720714]
[49431804, 246457812, 60530307, 224761572]
[239554898, 231847501, 23186257, 90275280]
[167539219, 192052900, 155852712, 6691973]
[139255779, 117323211, 86191772, 224651056]
[152865647, 34304426, 142969536, 142498073]
[121690776, 115201947, 67731008, 121337576]
[25353857, 25548869, 57635100, 119435558]
[174915493, 120643602, 47576843, 185180186]
[155939215, 2597427, 107088782, 118686356]
[195122300, 8092110, 93657706, 85907132]
[99697683, 8582985, 171381387, 89827909]
[139407978, 13422933, 168235173, 176997015]
[169717436, 214896517, 160185875, 218150587]
[20195691, 76067494, 114991732, 192744576]
[23593792, 95119995, 144724001, 12863429]
[104573498, 192955018, 133710613, 153227729]
[141361673, 162202163, 38490121, 70812908]
[84732876, 229889095, 217748667, 184664854]
[211510271, 200640855, 93455200, 97370272]
[148907630, 26611378, 223997019, 78329832]
[48016099, 60612335, 123822430, 221721951]
[213112826, 25516838, 152287638, 114775498]
[72760936, 139060137, 35863467, 172547926]
[204923669, 50635880, 156536157, 71355409]
