[139546810, 239589720, 133551693]
[23352730, 169676757, 233432536]
[92371730, 165264122, 73616657, 139763950]
[92371730, 165264122, 73616657, 228252593]
[23352730, 169676757, 144689980]
[23352730, 176157657, 145969510, 204151916]
[23352730, 119400816, 86172609, 206138656]
[92371730, 165264122, 166760576, 72620022]
[139546810, 239589720, 133551693, 199069004]
[92371730, 165264122, 166760576, 108947647]
[23352730, 176157657, 216875012, 176875799]
[23352730, 169676757, 138988626]
[23352730, 169676757, 151678907]
[139546810, 239589720, 133551693, 205736728]
[23352730, 169676757, 37716512]
[92371730, 165264122, 73616657, 47834573]
[23352730, 79325002, 248242818, 143432186]
[23352730, 119400816, 86172609, 106466156]
[23352730, 176157657, 145969510, 111454585]
[92371730, 165264122, 166760576, 49323981]
[23352730, 169676757, 40196156]
[23352730, 119400816, 184433358]
[23352730, 176157657, 216875012, 219122785]
[92371730, 165264122, 166760576, 224630378]
[23352730, 169676757, 226090202]
[23352730, 119400816, 86172609, 208471022]
[92371730, 165264122, 73616657, 142291757]
[92371730, 165264122, 73616657, 68733360]
[23352730, 119400816, 86172609, 121202436]
[23352730, 169676757, 199343975]
[92371730, 165264122, 73616657, 158483591]
[23352730, 119400816, 86172609, 30066703]
[23352730, 176157657, 216875012, 23993359]
[23352730, 79325002, 248242818, 8928758]
[92371730, 165264122, 166760576, 198541334]
[139546810, 239589720, 133551693, 196009838]
[23352730, 79325002, 248242818, 205023824]
[92371730, 165264122, 73616657, 58437276]
[23352730, 79325002, 248242818, 301397]
[92371730, 165264122, 166760576, 83030915]
[92371730, 165264122, 73616657, 36326583]
[139546810, 239589720, 133551693, 64062401]
[23352730, 176157657, 145969510, 246809698]
[92371730, 165264122, 166760576, 209738540]
[23352730, 176157657, 145969510, 244278900]
[139546810, 239589720, 133551693, 209867731]
[23352730, 119400816, 86172609, 55904359]
[92371730, 165264122, 73616657, 4129406]
[139546810, 239589720, 133551693, 192767607]
[139546810, 239589720, 133551693, 120043629]
[23352730, 176157657, 216875012, 174147244]
[23352730, 119400816, 86172609, 54307764]
[92371730, 165264122, 73616657, 230825002]
[139546810, 239589720, 133551693, 80687085]
[23352730, 119400816, 58120569]
[23352730, 166909107, 28473185, 225497875]
[23352730, 166909107, 28473185, 134146699]
[23352730, 79325002, 248242818, 82035096]
[23352730, 119400816, 206750970]
[23352730, 119400816, 78694738]
[23352730, 79325002, 248242818, 31257083]
[92371730, 165264122, 166760576, 151491606]
[23352730, 119400816, 86172609, 24798654]
[92371730, 165264122, 73616657, 40380826]
[92371730, 165264122, 73616657, 5199456]
[23352730, 119400816, 160371354]
[23352730, 176157657, 216875012, 49687890]
[23352730, 166909107, 28473185, 31318531]
[92371730, 165264122, 166760576, 190502538]
[23352730, 176157657, 216875012, 243212006]
[23352730, 176157657, 216875012, 117576789]
[23352730, 119400816, 86172609, 158769626]
[23352730, 176157657, 216875012, 195131980]
[23352730, 176157657, 216875012, 242177892]
[23352730, 176157657, 216875012, 91295151]
[23352730, 166909107, 28473185, 233082453]
[23352730, 119400816, 244761132]
[139546810, 239589720, 133551693, 123006701]
[23352730, 119400816, 71319797]
[139546810, 239589720, 133551693, 179954963]
[23352730, 176157657, 145969510, 241219984]
[92371730, 165264122, 166760576, 81105844]
[23352730, 79325002, 248242818, 39518526]
[23352730, 119400816, 86172609, 142154693]
[23352730, 119400816, 86172609, 175968309]
[23352730, 176157657, 145969510, 60587197]
[139546810, 239589720, 133551693, 178289666]
[23352730, 119400816, 223183860]
[92371730, 165264122, 73616657, 130796659]
[23352730, 166909107, 28473185, 54807945]
[23352730, 119400816, 220241416]
[23352730, 119400816, 209557176]
[23352730, 166909107, 28473185, 52708272]
[92371730, 165264122, 166760576, 15544663]
[23352730, 119400816, 98870415]
[23352730, 176157657, 216875012, 126998612]
[23352730, 166909107, 28473185, 183407087]
[139546810, 239589720, 133551693, 5267374]
[23352730, 176157657, 145969510, 79473809]
[23352730, 79325002, 248242818, 38744151]
[92371730, 165264122, 73616657, 31407256]
[23352730, 119400816, 86172609, 107674072]
[23352730, 79325002, 248242818, 36674787]
[23352730, 119400816, 86172609, 241392068]
[23352730, 79325002, 248242818, 179407764]
[23352730, 176157657, 216875012, 14452469]
[23352730, 176157657, 216875012, 236684664]
[23352730, 79325002, 248242818, 122868196]
[23352730, 169676757, 49820662]
[23352730, 79325002, 248242818, 227194094]
[23352730, 176157657, 216875012, 245179300]
[139546810, 239589720, 133551693, 169288801]
[23352730, 169676757, 113333155]
[23352730, 166909107, 28473185, 237689252]
[23352730, 79325002, 248242818, 72389968]
[23352730, 176157657, 216875012, 167380679]
[23352730, 169676757, 242521832]
[23352730, 176157657, 216875012, 62955484]
[23352730, 169676757, 48942616]
[23352730, 166909107, 28473185, 39138734]
[23352730, 119400816, 86172609, 147042952]
[23352730, 119400816, 86172609, 226350960]
