[23352730, 119400816]
[139546810, 239589720, 169626962]
[92371730, 165264122, 21494297]
[23352730, 46143703]
[139546810, 239589720, 95635176]
[139546810, 239589720, 90287263]
[23352730, 166909107, 231872755]
[23352730, 166909107, 142807568]
[23352730, 79325002, 163876308]
[139546810, 239589720, 18168483]
[92371730, 165264122, 155076514]
[105174577, 189996941, 232897175]
[92371730, 165264122, 244443036]
[23352730, 166909107, 216818891]
[23352730, 119400816, 94064739]
[23352730, 84197596]
[105174577, 163668261, 139338062]
[23352730, 119400816, 122509580]
[23352730, 119400816, 230812386]
[23352730, 7921035]
[92371730, 165264122, 135391681]
[23352730, 119400816, 51001964]
[105174577, 163668261, 20558210]
[23352730, 195603957]
[23352730, 18336553]
[92371730, 165264122, 42366867]
[92371730, 165264122, 193921903]
[53679069, 15200538, 208387488]
[23352730, 208149289]
[105174577, 163668261, 47079595]
[139546810, 239589720, 213548927]
[23352730, 79325002, 79116701]
[23352730, 176157657, 185172298]
[23352730, 79325002, 25432695]
[139546810, 239589720, 76044152]
[105174577, 189996941, 236620045]
[105174577, 189996941, 95012128]
[23352730, 119400816, 64311193]
[105174577, 189996941, 52410495]
[23352730, 119400816, 113250627]
[92371730, 165264122, 51422274]
[139546810, 239589720, 11044691]
[23352730, 166909107, 128204757]
[23352730, 176157657, 190741196]
[105174577, 189996941, 158939548]
[92371730, 165264122, 221794851]
[23352730, 79325002, 30577544]
[92371730, 165264122, 96501625]
[23352730, 119400816, 61993028]
[23352730, 176157657, 153228481]
[105174577, 163668261, 231626967]
[53679069, 15200538, 230600375]
[105174577, 189996941, 185739435]
[23352730, 176157657, 193637034]
[23352730, 79325002, 77632747]
[23352730, 79325002, 19018195]
[23352730, 119400816, 79144996]
[139546810, 239589720, 117004149]
[92371730, 165264122, 207161922]
[23352730, 119400816, 89507206]
[105174577, 189996941, 96410657]
[92371730, 165264122, 187463669]
[23352730, 79325002, 92293760]
[53679069, 15200538, 160507485]
[23352730, 213679209]
[105174577, 163668261, 110518977]
[92371730, 165264122, 231779517]
[23352730, 176157657, 16781117]
[23352730, 119400816, 122686262]
[23352730, 166909107, 86225687]
[139546810, 239589720, 50887471]
[92371730, 165264122, 53074337]
[23352730, 67836716]
[92371730, 165264122, 174949824]
[53679069, 15200538, 69768299]
[105174577, 163668261, 227096676]
[92371730, 165264122, 141736994]
[23352730, 186149549]
[105174577, 189996941, 31779581]
[23352730, 176157657, 84301884]
[23352730, 79325002, 225012907]
[23352730, 81422023]
[105174577, 163668261, 106518267]
[105174577, 189996941, 105243975]
[23352730, 23877567]
[23352730, 166909107, 28721318]
[53679069, 15200538, 171558960]
[23352730, 166909107, 227543716]
[23352730, 79325002, 65921862]
[23352730, 199147575]
[23352730, 166909107, 228323951]
[105174577, 189996941, 205965225]
[23352730, 166909107, 163197506]
[92371730, 165264122, 7503222]
[105174577, 163668261, 110141963]
[53679069, 15200538, 238754850]
[139546810, 239589720, 195635360]
[139546810, 239589720, 55297400]
[23352730, 79325002, 231038505]
[23352730, 119400816, 69582326]
[23352730, 166909107, 167639454]
[92371730, 165264122, 67039332]
[23352730, 176157657, 139217425]
[53679069, 15200538, 28037607]
[105174577, 163668261, 206896366]
[23352730, 119400816, 171018521]
[105174577, 189996941, 244274600]
[53679069, 15200538, 106867299]
[92371730, 165264122, 99655154]
[92371730, 165264122, 30231508]
[23352730, 119400816, 3600698]
[53679069, 15200538, 126297789]
[23352730, 239886656]
[23352730, 59452780]
[105174577, 163668261, 205494471]
[23352730, 27056837]
[23352730, 176157657, 145325881]
[105174577, 163668261, 149580052]
[23352730, 176157657, 226675222]
[105174577, 189996941, 115615959]
[139546810, 239589720, 144658817]
[23352730, 119400816, 163965798]
[53679069, 15200538, 128071521]
[139546810, 239589720, 49634859]
[23352730, 166909107, 146921551]
[23352730, 176157657, 64560540]
[139546810, 239589720, 129164349]
[23352730, 176157657, 215420135]
[105174577, 189996941, 147169549]
[105174577, 189996941, 165081311]
[53679069, 15200538, 152957185]
[53679069, 15200538, 181002506]
[105174577, 163668261, 139339004]
[53679069, 15200538, 60849347]
[23352730, 189933540]
[105174577, 163668261, 6794552]
[23352730, 119400816, 208282008]
[23352730, 119400816, 25984864]
[92371730, 165264122, 69341384]
[105174577, 189996941, 25872926]
[53679069, 15200538, 222157539]
[23352730, 153086319]
[23352730, 176157657, 56030558]
[23352730, 79325002, 45383483]
[139546810, 239589720, 111469580]
[23352730, 119400816, 242408591]
[139546810, 239589720, 222014773]
[23352730, 166909107, 218689014]
[105174577, 189996941, 101982373]
[92371730, 165264122, 28080949]
[139546810, 239589720, 186743506]
[92371730, 165264122, 205785779]
[23352730, 119400816, 136553717]
[105174577, 163668261, 82566688]
[23352730, 119400816, 24991502]
[105174577, 163668261, 157323205]
[23352730, 166909107, 34931813]
[23352730, 79325002, 221620589]
[53679069, 15200538, 36257944]
[105174577, 189996941, 49617967]
[23352730, 79325002, 52361996]
[23352730, 176157657, 248637770]
[23352730, 119400816, 39169632]
[23352730, 136359475]
[105174577, 163668261, 193182627]
[105174577, 163668261, 5308422]
[23352730, 150988679]
[23352730, 79325002, 149383571]
[23352730, 176157657, 61494176]
[105174577, 163668261, 104736302]
[23352730, 119400816, 121503348]
[23352730, 79325002, 61585996]
[23352730, 176157657, 103251988]
[23352730, 119400816, 60155420]
[139546810, 239589720, 242970735]
[23352730, 79325002, 170388984]
[23352730, 176157657, 240992269]
[92371730, 165264122, 170591240]
[105174577, 163668261, 139553031]
[92371730, 165264122, 66411840]
[53679069, 15200538, 225005830]
[105174577, 189996941, 32242945]
[23352730, 119400816, 60017559]
[53679069, 15200538, 15742236]
[23352730, 166909107, 21856268]
[139546810, 239589720, 94743505]
[23352730, 119400816, 67739262]
[53679069, 15200538, 89498364]
[105174577, 163668261, 153799853]
[23352730, 119400816, 3801398]
[105174577, 189996941, 74279612]
[139546810, 239589720, 212050590]
[92371730, 165264122, 174499141]
[53679069, 15200538, 121296936]
[23352730, 79325002, 33296618]
[53679069, 15200538, 194479783]
[23352730, 119400816, 53894915]
[23352730, 119400816, 123560511]
[23352730, 166909107, 68599075]
[53679069, 15200538, 126980646]
[23352730, 79325002, 136328003]
[105174577, 163668261, 136908802]
[23352730, 188254054]
[139546810, 239589720, 91828673]
[23352730, 79325002, 212528730]
[23352730, 86663110]
[23352730, 176157657, 52633480]
[23352730, 119400816, 141968250]
[23352730, 79325002, 189358722]
[53679069, 15200538, 207228795]
[139546810, 239589720, 245879226]
[23352730, 243630189]
[23352730, 176157657, 181633962]
[105174577, 189996941, 101088865]
[23352730, 119400816, 247308126]
[23352730, 40306674]
[105174577, 163668261, 20345489]
[139546810, 239589720, 116436860]
[92371730, 165264122, 225257613]
[23352730, 79325002, 203975218]
[23352730, 166909107, 165147962]
[23352730, 79325002, 138099636]
[139546810, 239589720, 239280537]
[23352730, 79325002, 11782523]
[105174577, 189996941, 248211095]
[92371730, 165264122, 125371160]
[23352730, 79325002, 43068658]
[139546810, 239589720, 171006763]
[53679069, 15200538, 119667047]
[23352730, 176157657, 79219670]
[23352730, 166909107, 128393422]
[105174577, 163668261, 164454906]
[23352730, 26024692]
[23352730, 79325002, 165561008]
[23352730, 176157657, 107367566]
[23352730, 79325002, 42964151]
[23352730, 228805229]
[23352730, 119400816, 16702453]
[23352730, 79325002, 157068492]
[23352730, 126579764]
[23352730, 119400816, 6764748]
[23352730, 119400816, 207137340]
[92371730, 165264122, 62577446]
[105174577, 189996941, 50228299]
[139546810, 239589720, 54952421]
[23352730, 119400816, 70537361]
[23352730, 176157657, 195344079]
[23352730, 79325002, 109098741]
[92371730, 165264122, 124252685]
[105174577, 189996941, 28078530]
[23352730, 119400816, 150116150]
[105174577, 189996941, 200421685]
[139546810, 239589720, 102151093]
[139546810, 239589720, 26852203]
[23352730, 166909107, 207094733]
[23352730, 26376298]
[139546810, 239589720, 60113931]
[23352730, 176157657, 74469917]
[105174577, 189996941, 164482339]
[105174577, 189996941, 72849844]
[105174577, 163668261, 104762071]
[53679069, 15200538, 226837649]
[92371730, 165264122, 61016121]
[92371730, 165264122, 179713321]
[23352730, 166909107, 34260930]
[139546810, 239589720, 162504614]
[23352730, 176157657, 164443748]
[53679069, 15200538, 19056289]
[92371730, 165264122, 17507995]
[105174577, 163668261, 104626982]
[23352730, 119400816, 68788669]
[92371730, 165264122, 219443022]
[105174577, 163668261, 206884697]
[105174577, 189996941, 31790149]
[53679069, 15200538, 179934702]
[23352730, 176157657, 162447903]
[105174577, 163668261, 196498715]
[92371730, 165264122, 123849553]
[23352730, 79325002, 98087800]
[105174577, 189996941, 159384001]
[53679069, 15200538, 86999233]
[23352730, 166909107, 74404621]
[139546810, 239589720, 39648558]
[105174577, 163668261, 32478195]
[23352730, 119400816, 117981171]
[23352730, 84758473]
[53679069, 15200538, 101435897]
[53679069, 15200538, 149920571]
[23352730, 79325002, 71412285]
[23352730, 119400816, 218406666]
[105174577, 163668261, 7305250]
[23352730, 176157657, 51755700]
[23352730, 160525042]
[105174577, 163668261, 199509812]
[23352730, 148493317]
[23352730, 79325002, 169010829]
[105174577, 163668261, 4691852]
[92371730, 165264122, 152466290]
[23352730, 79325002, 248018294]
[23352730, 135885899]
[23352730, 176157657, 170672231]
[92371730, 165264122, 209043095]
[23352730, 119400816, 47521315]
[23352730, 119400816, 105098640]
[139546810, 239589720, 236408818]
[53679069, 15200538, 2159735]
[23352730, 166909107, 231502842]
[92371730, 165264122, 239454059]
[105174577, 189996941, 19171561]
[23352730, 45249533]
[105174577, 189996941, 70061710]
[92371730, 165264122, 63497414]
[23352730, 106428199]
[53679069, 15200538, 197783601]
[23352730, 79325002, 1823255]
[139546810, 239589720, 111837686]
[23352730, 176157657, 236513619]
[105174577, 163668261, 31959268]
[23352730, 207684454]
[23352730, 176157657, 179226780]
[23352730, 172561831]
[105174577, 163668261, 26966798]
[92371730, 165264122, 44021400]
[139546810, 239589720, 221950705]
[23352730, 166909107, 207812361]
[23352730, 79325002, 228141382]
[92371730, 165264122, 247504362]
[139546810, 239589720, 201469219]
[23352730, 176157657, 189264297]
[23352730, 119400816, 30217843]
[105174577, 189996941, 1807798]
[92371730, 165264122, 228966507]
[139546810, 239589720, 48977748]
[139546810, 239589720, 86466925]
[23352730, 176157657, 106553101]
[53679069, 15200538, 61266663]
[53679069, 15200538, 239293468]
[105174577, 163668261, 62939690]
[23352730, 176157657, 120130490]
[23352730, 119400816, 241381883]
[105174577, 163668261, 93488323]
[139546810, 239589720, 155040910]
[23352730, 79325002, 46480484]
[105174577, 189996941, 50309262]
[23352730, 176157657, 112000376]
[53679069, 15200538, 224984036]
[23352730, 79325002, 227988179]
[23352730, 73270817]
[23352730, 172390557]
[105174577, 189996941, 156373846]
[23352730, 180649062]
[23352730, 79325002, 5623897]
