[23352730, 119400816, 86172609, 205958532]
[139546810, 239589720, 133551693, 59573031]
[139546810, 239589720, 133551693, 122677677]
[23352730, 119400816, 86172609, 108978886, 194460924]
[23352730, 176157657, 145969510, 219043633, 112264416]
[23352730, 119400816, 86172609, 182731818, 683706]
[23352730, 119400816, 202357487, 117687002]
[23352730, 79325002, 248242818, 128229141, 104079639]
[139546810, 239589720, 133551693, 65204137]
[92371730, 165264122, 73616657, 64482174, 166288488]
[23352730, 119400816, 86172609, 108978886, 183165441]
[23352730, 166909107, 28473185, 50455199, 3365509]
[139546810, 239589720, 133551693, 36844674]
[23352730, 166909107, 28473185, 50455199, 32182792]
[92371730, 165264122, 73616657, 64482174, 158692168]
[139546810, 239589720, 133551693, 164157592]
[23352730, 119400816, 86172609, 108978886, 242752590]
[92371730, 165264122, 73616657, 64482174, 121509661]
[139546810, 239589720, 133551693, 164973579]
[23352730, 119400816, 86172609, 182731818, 114676215]
[139546810, 239589720, 133551693, 128631218]
[23352730, 119400816, 86172609, 108978886, 172441244]
[23352730, 119400816, 202357487, 193135827]
[23352730, 176157657, 145969510, 219043633, 216857721]
[23352730, 166909107, 28473185, 50455199, 65080801]
[23352730, 119400816, 202357487, 111214353]
[23352730, 176157657, 145969510, 246293864, 211893982]
[23352730, 166909107, 28473185, 50455199, 97417701]
[92371730, 165264122, 73616657, 64482174, 122730643]
[23352730, 176157657, 145969510, 219043633, 86358070]
[23352730, 176157657, 145969510, 246293864, 184072735]
[23352730, 176157657, 145969510, 219043633, 39505201]
[23352730, 119400816, 86172609, 182731818, 147270891]
[23352730, 176157657, 145969510, 219043633, 33862601]
[23352730, 166909107, 28473185, 50455199, 227708586]
[92371730, 165264122, 73616657, 64482174, 169484941]
[23352730, 176157657, 145969510, 219043633, 108996044]
[23352730, 119400816, 202357487, 79739546]
[23352730, 166909107, 28473185, 50455199, 5776245]
[23352730, 166909107, 28473185, 50455199, 215708645]
[23352730, 119400816, 86172609, 205958532, 164504992]
[23352730, 119400816, 86172609, 205958532, 30928482]
[23352730, 119400816, 86172609, 108978886, 162824610]
[23352730, 176157657, 145969510, 246293864, 179042551]
[23352730, 176157657, 145969510, 246293864, 163142243]
[23352730, 119400816, 202357487, 88182446]
[139546810, 239589720, 133551693, 203581182]
[23352730, 176157657, 145969510, 246293864, 133307933]
[92371730, 165264122, 73616657, 64482174, 66522090]
[23352730, 119400816, 86172609, 108978886, 43162753]
[23352730, 119400816, 202357487, 57109531]
[23352730, 119400816, 202357487, 119290768]
[23352730, 79325002, 248242818, 128229141, 98452656]
[139546810, 239589720, 133551693, 84026976]
[23352730, 176157657, 145969510, 246293864, 214184860]
[23352730, 79325002, 248242818, 128229141, 186927614]
[23352730, 119400816, 202357487, 8825485]
[139546810, 239589720, 133551693, 162687967]
[23352730, 119400816, 86172609, 108978886, 32170639]
[23352730, 119400816, 86172609, 205958532, 189194376]
[23352730, 119400816, 86172609, 108978886, 27041993]
[23352730, 176157657, 145969510, 219043633, 156444927]
[23352730, 119400816, 202357487, 97482282]
[23352730, 176157657, 145969510, 219043633, 47130437]
[23352730, 176157657, 145969510, 246293864, 74460854]
[92371730, 165264122, 73616657, 64482174, 211472610]
[23352730, 119400816, 86172609, 182731818, 220821315]
